"Date","Cancer Site","Stage","Observed Count","Proportion (where stage known)","Proportion of total","Rolling Average","Rolling Proportion","LowerCI (rolling average)","Upper (rolling average)"
2025-05-01,"All Cancers Combined","Stage I",6252,0.389897100093545,0.287329380945816,7174.25,0.315172704142337,NA,NA
2025-05-01,"All Cancers Combined","Stage II",3373,0.210352354225133,0.15501631508801,3903.33333333333,0.171477732422983,NA,NA
2025-05-01,"All Cancers Combined","Stage III",3171,0.197754911131899,0.145732800220598,3777.91666666667,0.165968040123739,NA,NA
2025-05-01,"All Cancers Combined","Stage IV",3239,0.201995634549423,0.148857943839331,3816.5,0.167663048452344,NA,NA
2025-05-01,"All Cancers Combined","Unknown stage",5724,NA,0.263063559906246,4090.91666666667,0.179718474858597,NA,NA
2025-05-01,"All Cancers Combined","Total",21759,NA,NA,22762.9166666667,1,NA,NA
2025-05-01,"All Cancers Combined","TotalKnown",16035,NA,NA,18672,NA,NA,NA
2025-05-01,"All Cancers Combined","Early stages (I+II)",9625,0.600249454318678,0.442345696033825,11077.5833333333,0.48665043656532,58.6208150879364,60.0298394185654
2025-05-01,"All Cancers Combined","Late stages (III+IV)",6410,0.399750545681322,0.294590744059929,7594.41666666667,0.333631088576083,39.9701605814346,41.3791849120636
2025-05-01,"All Cancers Combined (excluding Lung and Prostate)","Stage I",3568,0.379493724739417,0.259528658713995,4360.33333333333,0.299476871301183,NA,NA
2025-05-01,"All Cancers Combined (excluding Lung and Prostate)","Stage II",2613,0.27791959157626,0.190064009310445,3054.91666666667,0.209818106892249,NA,NA
2025-05-01,"All Cancers Combined (excluding Lung and Prostate)","Stage III",1633,0.173686449691555,0.118780913587431,2067.5,0.142000251834385,NA,NA
2025-05-01,"All Cancers Combined (excluding Lung and Prostate)","Stage IV",1588,0.168900233992767,0.115507710212395,1923.66666666667,0.132121475749493,NA,NA
2025-05-01,"All Cancers Combined (excluding Lung and Prostate)","Unknown stage",4346,NA,0.316118708175735,3153.41666666667,0.21658329422269,NA,NA
2025-05-01,"All Cancers Combined (excluding Lung and Prostate)","Total",13748,NA,NA,14559.8333333333,1,NA,NA
2025-05-01,"All Cancers Combined (excluding Lung and Prostate)","TotalKnown",9402,NA,NA,11406.4166666667,NA,NA,NA
