"Date","Cancer Site","Stage","Observed Count","Proportion (where stage known)","Proportion of total","Rolling Average","Rolling Proportion","LowerCI (rolling average)","Upper (rolling average)"
2025-08-01,"All Cancers Combined","Stage I",6116,0.403430079155673,0.297355114741346,7357.66666666667,0.31821294447528,NA,NA
2025-08-01,"All Cancers Combined","Stage II",3127,0.206266490765172,0.152032283158304,3984.5,0.172326300538452,NA,NA
2025-08-01,"All Cancers Combined","Stage III",2890,0.190633245382586,0.140509529366005,3834,0.165817301107899,NA,NA
2025-08-01,"All Cancers Combined","Stage IV",3027,0.19967018469657,0.147170361726954,3892.75,0.168358189589926,NA,NA
2025-08-01,"All Cancers Combined","Unknown stage",5408,NA,0.26293271100739,4052.91666666667,0.175285264288443,NA,NA
2025-08-01,"All Cancers Combined","Total",20568,NA,NA,23121.8333333333,1,NA,NA
2025-08-01,"All Cancers Combined","TotalKnown",15160,NA,NA,19068.9166666667,NA,NA,NA
2025-08-01,"All Cancers Combined","Early stages (I+II)",9243,0.609696569920844,0.44938739789965,11342.1666666667,0.490539245013732,58.7812315169463,60.1746879304634
2025-08-01,"All Cancers Combined","Late stages (III+IV)",5917,0.390303430079156,0.28767989109296,7726.75,0.334175490697825,39.8253120695367,41.2187684830537
2025-08-01,"All Cancers Combined (excluding Lung and Prostate)","Stage I",2493,0.479607541362062,0.339784653127981,3022.83333333333,0.380087178842366,NA,NA
2025-08-01,"All Cancers Combined (excluding Lung and Prostate)","Stage II",1685,0.324163139669103,0.229657898323565,2078.91666666667,0.261400310155497,NA,NA
2025-08-01,"All Cancers Combined (excluding Lung and Prostate)","Stage III",518,0.0996537129665256,0.0706010631048112,801.25,0.100748145353954,NA,NA
2025-08-01,"All Cancers Combined (excluding Lung and Prostate)","Stage IV",502,0.0965756060023086,0.068420335286902,709.666666666667,0.0892325747097531,NA,NA
2025-08-01,"All Cancers Combined (excluding Lung and Prostate)","Unknown stage",2139,NA,0.29153605015674,1340.33333333333,0.16853179093843,NA,NA
2025-08-01,"All Cancers Combined (excluding Lung and Prostate)","Total",7337,NA,NA,7953,1,NA,NA
2025-08-01,"All Cancers Combined (excluding Lung and Prostate)","TotalKnown",5198,NA,NA,6612.66666666667,NA,NA,NA
2025-08-01,"All Cancers Combined (excluding Lung and Prostate)","Early stages (I+II)",4178,0.803770681031166,0.569442551451547,5101.75,0.641487488997862,76.1236227338551,78.1471990535637
2025-08-01,"All Cancers Combined (excluding Lung and Prostate)","Late stages (III+IV)",1020,0.196229318968834,0.139021398391713,1510.91666666667,0.189980720063708,21.8528009464363,23.8763772661449
2025-08-01,"All Cancers Combined (excluding Lung)","Stage I",4108,0.468735737106344,0.350601689852351,4927.25,0.381432525014031,NA,NA
